objectid,identifier,negative number,title,date,searchable date,decade,description,bio/historical note,creator,publisher,reference,subject,subject (tcau),building name,people,organizations,campus events,location,resource type,original physical format,exhibits,format,contributing institution,language,collection,ordering and permissions,n/a (transcription) font size significantly decreased for visibility of cells,background unknown,background identifier,background date,background date,background link,cdmid,background identifier,background link,reference_url
"historicboise643","AR 023678","9205-059-A3","Campus general view, 1990s","1992-05","","1990s","Students congregate by the Bronco statue in front of the Business Building.","","","","","Boise State University;Sculpture","","Spirit of the Broncos (Sculpture);","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","","855.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/725","725","855.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/725","https://dcnb.github.io//bsu-demo/items/historicboise643.html"
"historicboise644","AR 025121","8208-007-C2","Campus general view, 1980s","1982-08","","1980s","Greenbelt, the newly-built Pavilion, and Table Rock in the distance from the Education Building.","","","","","Boise State University;Table Rock;","","Pavilion;Taco Bell Arena;","","","","Boise (Idaho);Boise Foothills (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","","856.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/726","726","856.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/726","https://dcnb.github.io//bsu-demo/items/historicboise644.html"
"historicboise645","AR 000437","","Library","1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989","","1980s","Four story section of the Library.","","University Photographic Services;","","","Boise State University; Libraries;","","Library; Albertsons Library","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","857.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/727","727","857.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/727","https://dcnb.github.io//bsu-demo/items/historicboise645.html"
"historicboise646","AR 025304","O8910-007-A2","Campus general view, 1980s","1989-10","","1980s","Bicycles parked in front of the Business Building.","","","","","Boise State University;Bicycles &amp; tricycles;Sculpture","","Spirit of the Broncos (Sculpture);","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","","858.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/728","728","858.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/728","https://dcnb.github.io//bsu-demo/items/historicboise646.html"
"historicboise647","AR 010052","","Chaffee Hall groundbreaking","10/19/1966","","1960s","President Eugene Chaffee turns the first shovel of dirt at the groundbreaking for a new dormitory building, later named Chaffee Hall. At far left is student body president Bill Ilett. Behind them is Morrison Hall. ","","","","","Boise State University;Ground breaking ceremonies;Dormitories","","Chaffee Hall;Morrison Hall;","Chaffee, Eugene B.;Ilett, Bill","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","","859.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/729","729","859.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/729","https://dcnb.github.io//bsu-demo/items/historicboise647.html"
"historicboise648","AR 018009","7501-014-D3","Men&#39;s basketball","1/23/1975","","1970s","Basketball player Pat Hoke takes the jump shot as Idaho State player tries to block him.","","","","","Boise State University;Basketball;","","","Hoke, Pat;","","Athletics;","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","86.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/730","730","86.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/730","https://dcnb.github.io//bsu-demo/items/historicboise648.html"
"historicboise649","AR 010053","","Chaffee Hall groundbreaking","10/19/1966","","1960s","Vice president William G. Gottenberg passes out shovels at the groundbreaking for the new dormitory later called Chaffee Hall. Others, left to right, are: Robert Overstreet (trustee), Homer Deal (chair of Housing Committee), Ray Strawn (vice chair of Housing Committee); Don Day (trustee), Ralph Comstock (trustee), and at far right President Eugene Chaffee.","","","","","Boise State University;Ground breaking ceremonies;Dormitories","","Chaffee Hall;","Overstreet, Robert;Deal, Homer;Strawn, Ray;Day, Don;Comstock, Ralph;Chaffee, Eugene B.","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","","860.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/731","731","860.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/731","https://dcnb.github.io//bsu-demo/items/historicboise649.html"
"historicboise650","AR 003272","","Classroom Instruction","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","Instructor speaking in the lecture hall in the Liberal Arts Building","","University Photographic Services;","","","Boise State University;Classrooms;","","Liberal Arts Building","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","861.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/732","732","861.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/732","https://dcnb.github.io//bsu-demo/items/historicboise650.html"
"historicboise651","AR 004153","","Hobo March","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","Student dressed for the Tau Alpha Pi Hobo March.","From the 1950s through the 1990s, vocational education students held the Hobo March to raise funds for vocational education scholarships.","University Photographic Services;","","","Boise State University;Scholarships;Fraternities &amp; sororities;","","","","Tau Alpha Pi;","Fundraisers;","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08, jd 10/15","138.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/733","733","138.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/733","https://dcnb.github.io//bsu-demo/items/historicboise651.html"
"historicboise652","AR 014106","","Classroom Instruction","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","Music professor John Best leads a class in the Music-Drama Building (later the Communication Building) probably sometime in the 1970s. The room was later reconfigured to serve as the television studio for the Communication Department, and although the windows were covered, the vaulted ceiling and roof trusses are still visible. When this building was constructed in 1941-1942 as the original Student Union Building, this room, along with room 111, part of a larger dining room. ","","","","","Boise State University;Classrooms;Music","","Communication Building;Music-Drama Building;Student Union (1942-1967)","Best, John","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","Teacher identified as Best by John Franzen, Music dept tech.","862.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/734","734","862.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/734","https://dcnb.github.io//bsu-demo/items/historicboise652.html"
"historicboise653","AR 006344","","Old Student Union","1950; 1951; 1952; 1953; 1954","","1950s","A coffee break in the Student Union Building.","The cornerstone of the original Student Union was laid in November 1941 and the building opened in 1942. It was renamed the Music-Drama Building after the new student union opened in 1967. In 1984 the building was remodeled and renamed the Communication Building.","Unknown","","","Boise State University;","","Student Union (1942-1967);Communication Building;Music-Drama Building;","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","not sure if this is the Student Union","863.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/735","735","863.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/735","https://dcnb.github.io//bsu-demo/items/historicboise653.html"
"historicboise654","AR 006288","","Student Union activities","1969; 1970; 1971","","1970s","Students eating and studying in the Student Union Building. Four student organization crests can be seen on a back wall. Left to right: Pi Sigma Sigma; Tau Alpha Pi, the vocational student club; unknown (possibly Intercollegiate Knights); and Esquires.","","Unknown","","","Boise State University;","","Student Union (1967- );","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","jd 10/15","864.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/736","736","864.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/736","https://dcnb.github.io//bsu-demo/items/historicboise654.html"
"historicboise655","AR 027181","HIS-00-020-D","Old Student Union","1965; 1966; 1967; 1968; 1969","","1960s","The crowded dining room in the Student Union Building. The Bronco logo on the wall dates from the late 1960s.","The cornerstone of the original Student Union was laid in November 1941 and the building opened in 1942. It was renamed the Music-Drama Building after the new student union opened in 1967. In 1984 the building was remodeled and renamed the Communication Building.","","","","Boise State University;","","Student Union (1942-1967);Communication Building;Music-Drama Building;","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","865.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/737","737","865.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/737","https://dcnb.github.io//bsu-demo/items/historicboise655.html"
"historicboise656","AR 003238","","Western-style entertainment","1978","","1970s","Western-style entertainment in the old Gym, probably at half-time during a basketball game. One of the posters on the wall advocates the election of Rob Perez as student body president.","","University Photographic Services;","","","Boise State University; Student government; Political posters","","Gymnasium;Human Performance Center;Kinesiology Building;","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","866.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/738","738","866.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/738","https://dcnb.github.io//bsu-demo/items/historicboise656.html"
"historicboise657","AR 000528","","Campus School","1955-02","","1950s","Elementary school children in a classroom at Campus School.","","Unknown","","","Boise State University;School children;Classrooms;Elementary school teaching","","Campus School;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","867.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/739","739","867.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/739","https://dcnb.github.io//bsu-demo/items/historicboise657.html"
"historicboise658","AR 000545","","Teacher education","1953-05","","1950s","Rosalee Hartwell, Meridian, is shown above with some of the pupils she has been instructing at Central school part of her &quot;cadet&quot; training.","Photo published in student newspaper Roundup, May 11, 1953","Franklin Carr","","","Boise State University;Classrooms;Reading;","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","868.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/740","740","868.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/740","https://dcnb.github.io//bsu-demo/items/historicboise658.html"
"historicboise659","AR 023718","9210-033-A6","Campus general view, 1990s","1992-10","","1990s","Students gather in front of the Business Building near the Sprit of the Bronco statue.","","","","","Boise State University;Sculpture","","Spirit of the Broncos (Sculpture);","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","","869.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/741","741","869.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/741","https://dcnb.github.io//bsu-demo/items/historicboise659.html"
"historicboise660","AR 017960","O7501-001-A1","Men&#39;s basketball","1975","","1970s","Basketball player Pat Hoke attempts a layup from under the net.","","","","","Boise State University;Basketball;","","","Hoke, Pat;","","Athletics;","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","87.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/742","742","87.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/742","https://dcnb.github.io//bsu-demo/items/historicboise660.html"
"historicboise661","AR 003143","","Bronco Athletic Association","1973; 1974; 1975; 1976","","1970s","Bronco Athletic Association president Lee Scott and Governor Cecil D. Andrus in conversation at a Bronco Athletic Association picnic. Cecil Andrus is grilling the hamburgers. At left is Al Izzolo of ARA Food Service.","","University Photographic Services;","","Published in Bronco Impact, October 1973, p. 4 (UP 31)","Boise State University;Picnics;Barbecue grills;","","","Andrus, Cecil D.;","Bronco Athletic Association;","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","870.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/743","743","870.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/743","https://dcnb.github.io//bsu-demo/items/historicboise661.html"
"historicboise662","AR 004207","","Hobo March","1964; 1965","","1960s","Students dressed for the Hobo March scholarship fundraiser. One is dressed in a potato sack.","From the 1950s through the 1990s, vocational education students held the Hobo March to raise funds for vocational education scholarships.","Unknown","","","Boise State University;Fraternities &amp; sororities;Scholarships","","","","Tau Alpha Pi;","Fundraisers;","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","139.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/744","744","139.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/744","https://dcnb.github.io//bsu-demo/items/historicboise662.html"
"historicboise663","AR 003137","","Bronco Athletic Association","1952; 1953; 1954; 1955; 1956; 1957","","1950s","Pre-game or post-game festivities? Included in the picture are Charles O. Brown (left) and Clyde Potter (second from right). Potter was longtime business manager; Brown retired as head of building and grounds in 1967 after 31 years of service. (Eugene Chaffee, &quot;Boise College, An Idea Grows,&quot; p. 115)","","Franklin Carr","","","Boise State University; Luncheons; Clothing &amp; dress;","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","871.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/745","745","871.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/745","https://dcnb.github.io//bsu-demo/items/historicboise663.html"
"historicboise664","AR 013451","","Math/Geology Building","1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989","","1980s","The Math/Geology Building is reflected in the front windows of the Business Building. It is a mirror image.","","","","","Boise State University;","","Science Building (1955);Mathematics/Geosciences Building;Math/Geology Building;Spirit of the Broncos (Sculpture);Business Building;","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","","872.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/746","746","872.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/746","https://dcnb.github.io//bsu-demo/items/historicboise664.html"
"historicboise665","AR 000442","","Campus general view, 1980s","1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989","","1980s","A view from campus of the Morrison-Knudsen Company headquarters and the Boise Foothills beyond. In the foreground are the Fountain and Memorial Mall, the Library parking lot, and the dormitories.","","University Photographic Services;","","","Boise State University;Dormitories;","","Fountain and Memorial Mall;Morrison Hall;Driscoll Hall;","","","","Boise (Idaho);Boise Foothills (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Libraries, Special Collections Department","","University Archives","","","","873.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/747","747","873.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/747","https://dcnb.github.io//bsu-demo/items/historicboise665.html"
"historicboise666","AR 025353","8909-069-C1","Centennial Amphitheatre","1989-09","","1980s","President John Keiser interviewed during the construction of the Centennial Amphitheatre.","","","","","Boise State University;Journalism;Construction equipment","","Centennial Amphitheatre;","Keiser, John H.","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","874.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/748","748","874.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/748","https://dcnb.github.io//bsu-demo/items/historicboise666.html"
"historicboise667","AR 000462","","Greenhouse","1957","","1950s","A greenhouse south of the Assembly Hall, adjacent to the Heat Plant.","The plants grown in the greenhouse had a dual purpose, after the student studied them, the plants were planted around campus. This structure appears on campus maps until the mid-1960s.","Unknown","","Les Bois 1957, page 119","Boise State University;Greenhouses;","","Assembly Hall;Auditorium;Music Building;Hemingway Western Studies Center;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","From folder Campus general views AV 1/09","875.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/749","749","875.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/749","https://dcnb.github.io//bsu-demo/items/historicboise667.html"
"historicboise668","AR 000477","","Campus general view, 1950s","8/20/1954","","1950s","North side of the Student Union Building, with the Administration building in the distance.","","Unknown","","","Boise State University;","","Student Union (1942-1967);Music-Drama Building;Communication Building;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","876.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/750","750","876.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/750","https://dcnb.github.io//bsu-demo/items/historicboise668.html"
"historicboise669","AR 000482","","Campus general view, 1950s","1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959; 1960","","1950s","East side of the campus and the snow covered Boise foothills, taken from the roof of the Administration Building. Assembly Hall is at the right. The small frame building behind it was the marching band&#39;s shed.","","Unknown","","","Boise State University;Universities &amp; colleges;Boise Foothills;","","Hemingway Western Studies Center;Assembly Hall;Auditorium;Music Building","","Marching band","","Boise (Idaho);Boise Foothills (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","877.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/751","751","877.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/751","https://dcnb.github.io//bsu-demo/items/historicboise669.html"
"historicboise670","AR 027199","","River Road drive","1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959; 1960","","1950s","Business Building drive from River Road to the Administration Building (not pictured). The drive could be used for parking.","This driveway was located at the heart of what is now considered the &quot;Quad.&quot; One edge of the Library sits on the east side;the Business Building sits on the west side, the two pine trees at the end of the circle are now major features of the Quad, and the Quad&#39;s present flag poles are very close to the location of the one in this picture.","","","","Boise State University;Aerial photographs;Boise River (Idaho);Driveways;Parking","","","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","From folder Campus General Views","878.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/752","752","878.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/752","https://dcnb.github.io//bsu-demo/items/historicboise670.html"
"historicboise671","AR 000024","","Campus general view, 1960s","1965; 1966; 1967","","1960s","Students in front of the Library (not shown), with the Administration Building in the the background. The Fountain and Memorial Mall in front of the Library were not yet built.","","Unknown","","","Boise State University;","","","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","879.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/753","753","879.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/753","https://dcnb.github.io//bsu-demo/items/historicboise671.html"
"historicboise672","AR 018046","","Men&#39;s basketball","1974; 1975; 1976; 1977","","1970s","Basketball player Pat Hoke showing his jumping skills.","","","","","Boise State University;Basketball;","","","Hoke, Pat;","","Athletics;","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","88.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/754","754","88.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/754","https://dcnb.github.io//bsu-demo/items/historicboise672.html"
"historicboise673","AR 000810","","Gymnasium","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","Aerial view of the Gymnasium and surrounding area.","The Gymnasium was built in 1955 and opened in January 1956. In 1986 it was renamed the Human Performance Center and in 2001 it became the Kinesiology Building.","University Photographic Services;","","","Boise State University;Dormitories;Parking lots;Aerial photographs;","","Gymnasium;Kinesiology Building;Morrison Hall;Chaffee Hall;","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","14.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/755","755","14.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/755","https://dcnb.github.io//bsu-demo/items/historicboise673.html"
"historicboise674","AR 000413","","Campus general view, 1960s","6/3/1966","","1960s","View looking east from the roof of the Science building.","","Unknown","","","Boise State University;Driveways;","","Library;Albertsons Library;Administration Building;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","880.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/756","756","880.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/756","https://dcnb.github.io//bsu-demo/items/historicboise674.html"
"historicboise675","AR 000465","","Campus general view, 1960s","1955; 1956; 1957; 1958; 1959; 1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969","","1950s;1960s","The corners of the Administration building and the Science Building.","","Unknown","","","Boise State University;","","Administration Building;Science Building (1955);Math/Geology Building;Mathematics/Geosciences Building;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","881.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/757","757","881.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/757","https://dcnb.github.io//bsu-demo/items/historicboise675.html"
"historicboise676","AR 000466","","Campus general view, 1960s","1967; 1968; 1969","","1960s","First three dormitories on campus, Driscoll and Morrison halls (1951), and in the background Chaffee Hall (1967).","","Unknown","","","Boise State University;Dormitories;","","Chaffee Hall;Driscoll Hall;Morrison Hall;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","882.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/758","758","882.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/758","https://dcnb.github.io//bsu-demo/items/historicboise676.html"
"historicboise677","AR 000874","","Campus general view, 1960s","1967-05","","1960s","Library (left) and the new Liberal Arts Building from Campus Drive.","","Unknown","","","Boise State University;","","Library;Liberal Arts Building;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","883.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/759","759","883.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/759","https://dcnb.github.io//bsu-demo/items/historicboise677.html"
"historicboise678","AR 000875","","Campus general view, 1960s","1967-05","","1960s","Library, Liberal Arts Building, and the Administration building from a field on the west part of campus.","","Unknown","","","Boise State University;","","Library;Albertsons Library;Liberal Arts Building;Administration Building;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","884.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/760","760","884.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/760","https://dcnb.github.io//bsu-demo/items/historicboise678.html"
"historicboise679","AR 027188","","Campus general view, 1960s","1960; 1961; 1962; 1963; 1964; 1965","","1960s","College Boulevard and the neighborhood south of it. The Administration Building is at the far right.","","","","","Boise State University;","","","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","No Lib Arts bldg. AV 1/09","885.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/761","761","885.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/761","https://dcnb.github.io//bsu-demo/items/historicboise679.html"
"historicboise680","AR 027190","","Campus general view, 1960s","1964; 1965; 1966; 1967; 1968; 1969","","1960s","Quad and the library.","","","","","Boise State University;","","Albertsons Library;Library;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","886.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/762","762","886.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/762","https://dcnb.github.io//bsu-demo/items/historicboise680.html"
"historicboise681","AR 027238","","Campus general view, 1970s","1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","West side of campus from the roof of the four story library addition, built in 1972.","","","","","Boise State University;","","Mathematics/Geosciences Building;","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","887.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/763","763","887.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/763","https://dcnb.github.io//bsu-demo/items/historicboise681.html"
"historicboise682","AR 027695","","Campus general view, 1970s","1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","","Students in front of the Business Building and in the quad;the Administration building is in the background.","","","","","Boise State University;Bicycles &amp; tricycles;","","","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives;","","University Archives","","","","888.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/764","764","888.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/764","https://dcnb.github.io//bsu-demo/items/historicboise682.html"
