objectid,identifier,negative number,title,datenote,date,decade,description,bio/historical note,creator,publisher,reference,subject,subject (tcau),building name,people,organizations,campus events,location,resource type,original physical format,exhibits,format,contributing institution,language,collection,rightsstatement,n/a (transcription) font size significantly decreased for visibility of cells,background unknown,background identifier,background date,background date,background link,cdmid,background identifier,background link
historicboise705,AR 027363,9302-047-D2,Men's basketball,1993,1993,1990s,Basketball player Tanoka Beard jumps over the Idaho State players for the two point shot.,,,,,Boise State University;Basketball;,,,"Beard, Tanoka;",,Athletics;,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,91.jpg,3/31/2009,11/5/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/788,788,809.jpg,/archives/image/809.jpg
historicboise706,AR 027360,,Men's basketball,ca. 1988,1986; 1987; 1988,1980s,"Following tradition, basketball player Arnell Jones removes the net after a victory.",,"Becker, Brian (Arbiter)",,,Boise State University;Basketball;,,,"Jones, Arnell;",,Athletics;,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,142.jpg,3/31/2009,11/5/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/789,789,81.jpg,/archives/image/81.jpg
historicboise707,AR 000174,,"Aerial View, 1970s",May-70,1970-05,1970s,"Aerial view of campus during the construction of the Business Building. Also, on the very bottom left is Webb Hangar, part of the airport.",,University Photographic Services;,,see also AR 000173,Boise State University;Aerial photographs;Boise River (Idaho);,,Business Building;Student Union (1967- );Webb Hangar;,,,,Boise (Idaho),Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,"Date was written on front of image on the border ""May 1970"" JD",910.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/790,790,810.jpg,/archives/image/810.jpg
historicboise708,MSS 61 109,,Romance Language Night,3-Apr-42,4/3/1942,1940s,"Four of the students participating in French and Spanish plays during the 10th annual Romance Language Night, April 11, 1942. Left to right: Robert Mitchell, Patricia Scannell, Roberta Valleau, and Eugene Perkins. They are pictured in front of the Administration Building.",,,,"Event described in 1942 Les Bois, page 59",Boise State University;Theatrical productions;,,Administration Building;,,,,Boise (Idaho);,Image:StillImage,b/w photo;,,image/jpeg,"Boise State University Library, Special Collections and Archives",,Camille Power collection (MSS 61),"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,911.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/791,791,811.jpg,/archives/image/811.jpg
historicboise709,AR 003939,,Homecoming couples,13-Nov-54,11/13/1954,1950s,Three couples sit along the wall during the Homecoming Dance.,,Unknown,,"Reference: 1955 Les Bois, page 109.",Boise State University;Dance parties;,,Student Union (1942-1967),,,Homecoming;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,912.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/792,792,812.jpg,/archives/image/812.jpg
historicboise710,AR 003891,,Dancing couple,1950s,1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959,1950s,Man dances with woman wearing a full skirt.,,Unknown,,,Boise State University;Dance parties,,Student Union (1942-1967),,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,913.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/793,793,813.jpg,/archives/image/813.jpg
historicboise711,AR 003871,,Dancing couple,1950s,1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959,1950s,"Man swings his partner around at a dance. The banner in the background reads ""Salome Narcissis.""",,Unknown,,,Boise State University;Dance parties,,,,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,914.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/794,794,814.jpg,/archives/image/814.jpg
historicboise712,AR 003862,,Man dancing before a crowd,1950s,1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959,1950s,Man in a suit kicks outward while dancing in front of a crowd of women.,,Unknown,,,Boise State University;Dance parties;,,,,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,915.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/795,795,815.jpg,/archives/image/815.jpg
historicboise713,AR 003834,,United Fund Dance,1970s,1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979,1970s,Couple dancing at the United Fund Dance in the 1970s. The band may be named the Alligators.,,University Photographic Services;,,,Boise State University;Dance parties;Rock groups;,,,,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,916.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/796,796,816.jpg,/archives/image/816.jpg
historicboise714,AR 003821,7712-007-D4,Christmas Formal,1-Dec-77,12/1/1977,1970s,Couples slow dance at the Christmas Formal.,,University Photographic Services;,,,Boise State University;Dance parties;Christmas decorations;,,,,,Christmas Formal;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,917.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/797,797,817.jpg,/archives/image/817.jpg
historicboise715,AR 003812,,Flintstone Formal Costume Winners,1965,1965,1960s,"Gayle Allen and Judy Schwalbe, 1st and 2nd place winners in the best costumes contest at the Esquires' Flintstone Formal.",,Unknown,,"Reference: 1966 Les Bois, page 32.",Boise State University;Dance parties;Masquerades;,,,"Allen, Gayle;Schwalbe, Judy",,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,918.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/798,798,818.jpg,/archives/image/818.jpg
historicboise716,AR 003815,,Christmas Formal,1-Dec-65,12/1/1965,1960s,Students dance around a Christmas Tree during the Christmas Formal in the Student Union Building.,,Unknown,,"Roundup, December 16, 1965, page 3.",Boise State University;Dance parties;Christmas decorations;,,Student Union (1942-1967);Communication Building;Music-Drama Building;,,,Christmas Formal;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,919.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/799,799,819.jpg,/archives/image/819.jpg
historicboise717,AR 023971,,Men's basketball Big Sky championship,13-Mar-93,3/13/1993,1990s,Men's basketball team celebrates after winning the Big Sky tournament at the University of Idaho.,,,,,Boise State University;Basketball;,,,,,Athletics;,Moscow (Idaho);,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,143.jpg,3/31/2009,11/5/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/800,800,82.jpg,/archives/image/82.jpg
historicboise718,AR 027364,9012-024-A5,Men's basketball,1990,1990,1990s,Basketball player Tanoka Beard blocks the opponent and waits for the rebound.,,,,,Boise State University;Basketball;,,,"Beard, Tanoka;",,Athletics;,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,92.jpg,3/31/2009,11/5/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/801,801,820.jpg,/archives/image/820.jpg
historicboise719,AR 027390,,Christmas Formal,1-Dec-65,12/1/1965,1960s,Couples dancing in the Student Union Building during the Christmas Formal.,,,,,Boise State University;Dance parties,,Student Union (1942-1967);Communication Building;Music-Drama Building;,,,Christmas Formal;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,920.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/802,802,821.jpg,/archives/image/821.jpg
historicboise720,AR 003842,,Homecoming,1961,1961,1960s,"Homecoming Queen Gaye Berger and unidentified partner pose for a picture with the other contestants and three children. Yearbook caption reads, ""The Queen and her royal court are presented during intermission of the 1961 Homecoming Dance.""",,Unknown,,"1962 Les Bois, page 44.",Boise State University;Dance parties,,,"Berger, Gaye",,Homecoming;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,921.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/803,803,822.jpg,/archives/image/822.jpg
historicboise721,AR 027389,,King of Hearts crowning,1966,1966,1960s,"Bart Chaffee, voted King of Hearts, is crowned by Janine Talley, president of the Associated Women Students, at the Sweethearts Ball.",,,,"1966 Les Bois, page 27.",Boise State University;Dance parties,,,"Chaffee, Ben;Talley, Janine",,Sweetheart's Ball,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,922.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/804,804,823.jpg,/archives/image/823.jpg
historicboise722,AR 003833,,Presidents Ball First Lady,1966,1966,1960s,"Pi Sigma Sigma 1966 President's Ball, First Lady Patricia Byrnes.",,Unknown,,"Published in 1966 Les Bois, page 34.",Boise State University;Dance parties;Fraternities & sororities;,,,"Byrnes, Patricia;",Pi Sigma Sigma,President's Ball;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,923.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/805,805,824.jpg,/archives/image/824.jpg
historicboise723,AR 003837,,Presidents Ball First Lady,1-Apr-67,4/1/1967,1960s,"At the Pi Sigma fraternity's President's Formal, Patty Byrnes crowns new first lady, Rita Duncan.",,Unknown,,"1967 Les Bois, page 161.",Boise State University;Dance parties;Fraternities & sororities;,,,"Byrnes, Patricia;Duncan, Rita",,President's Ball;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,924.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/806,806,825.jpg,/archives/image/825.jpg
historicboise724,AR 003814,,Intercollegiate Knights Golden Plume Ball Duchess and Duke,1963,1963,1960s,"Intercollegiate Knights Golden Plume Ball ""Knights of the Round Table"" Duchess Donna Bayhouse and new Duke Marc Nations.",,Unknown,,"1963 Les Bois, page 108.",Boise State University;Dance parties,,,"Bayhouse, Donna;Nations, Marc",,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,925.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/807,807,826.jpg,/archives/image/826.jpg
historicboise725,AR 003943,,King of Hearts,10-Feb-50,2/10/1950,1950s,"Sweetheart Ball, sponsored by the Association of Women Students. Sam Breshears was crowned the King of Hearts by Associated Women Students president Margaret Taylor. Looking on are flower girl Judy Winters and Eddie Lungren and Joe Dietrich, the two Jacks of Hearts.",,Unknown,,"Published in BJC Roundup, February 24, 1950, page 1.",Boise State University;Dance parties;Valentines;,,,"Breshears, Sam;Taylor, Margaret;Winters, Judy;Lungren, Eddie;Dietrich, Joe",,Sweetheart's Ball;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,926.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/808,808,827.jpg,/archives/image/827.jpg
historicboise726,AR 020350,,Spring Formal,1950s,1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959,1950s,Students dance to big band music in the gymnasium.,The Gymnasium was built in 1955 and opened in January 1956. In 1986 it was renamed the Human Performance Center and in 2001 it became the Kinesiology Building.,,,,Boise State University;Big bands;Dance parties;,,Gymnasium;Kinesiology Building;,,,Spring Formal;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,927.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/809,809,828.jpg,/archives/image/828.jpg
historicboise727,AR 003938,,Jazz band,1950s,1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959,1950s,Students watch a jazz band playing on a stage full of Christmas trees. The pianist appears to be Jimmy Zito.,,Unknown,,,Boise State University;Dance parties;Big bands;Christmas decorations;,,,,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,928.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/810,810,829.jpg,/archives/image/829.jpg
historicboise728,AR 027370,9606-31,Gymnastics,ca. 1980,1978; 1979; 1980; 1981; 1982,1970s;1980s,Gymnast Shalagh Astor competing on the balance beam.,,,,,Boise State University;Gymnastics;Women athletes;,,,"Astor, Shalagh;",,Athletics;,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,update 8/08 ep,144.jpg,3/31/2009,11/5/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/811,811,83.jpg,/archives/image/83.jpg
historicboise729,AR 003940,,Spring Formal,Apr-49,1949-04,1940s,"Merle Carpenter, Shirley Mae Johnson, Connie Obenchain, and John Elorriaga in conversation in front of a sign promoting the Spring Formal, featuring Jimmy Zito's band.",,Unknown,,,Boise State University;Big bands;Dance parties;,,,"Carpenter, Merle;Johnson, Shirley Mae;Obenchain, Connie; Elorriaga, John;",,Spring Formal;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",eng;,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,929.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/812,812,830.jpg,/archives/image/830.jpg
historicboise730,AR 024573,,Men's basketball,ca. 1993,1991; 1992; 1993; 1994,1990s,Basketball player Shambric Williams #42 jumps and reaches for the rebound but the ball falls to the four Idaho State players behind him.,,,,,Boise State University;Basketball;,,,"Williams, Shambric;",,Athletics;,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,93.jpg,3/31/2009,11/5/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/813,813,831.jpg,/archives/image/831.jpg
historicboise731,AR 003929,,Dancing couple,1950s,1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959,1950s,Twirling dancers at a ball.,,Unknown,,,Boise State University;Dance parties;,,,,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,930.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/814,814,832.jpg,/archives/image/832.jpg
historicboise732,AR 003936,,Dancing couples,1950,1950,1950s,Students dancing in the Student Union Building.,,Unknown,,,Boise State University;Dance parties;,,Student Union (1942-1967);Communication Building;,,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,931.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/815,815,833.jpg,/archives/image/833.jpg
historicboise733,AR 003860,,Driscoll Ball,1950s,1953; 1954; 1955; 1956; 1957; 1958; 1959,1950s,"Front Row: Carolyn Caldwell, President Eugene Chaffee, Back Row: Genevieve Turnipseed (director of dormitories), Al Moore (vice president of Driscoll Hall).",,Unknown,,,Boise State University;Dance parties;Dormitories;,,Driscoll Hall;,"Chaffee, Eugene B.;Turnipseed, Genevieve;Moore, Al;Caldwell, Carolyn",,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,932.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/816,816,834.jpg,/archives/image/834.jpg
historicboise734,AR 003862,,"Waltz me around again, Merlin",1952,1952,1950s,"A dance, yearbook caption: ""Waltz me around again, Merlin.""",,Unknown,,"1952 Les Bois, page 72.",Boise State University;Dance parties;Football players;,,Student Union (1942-1967);Communication Building;,"Howard, Merlin;",,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,933.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/817,817,835.jpg,/archives/image/835.jpg
historicboise735,AR 003894,,Swing your partner,1952,1952,1950s,Two students dressed in flannel dancing in the Student Union Building.,,Unknown,,,Boise State University;Dance parties;,,,,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,934.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/818,818,836.jpg,/archives/image/836.jpg
historicboise736,AR 003959,,Dancing the Jitterbug,1955,1955,1950s,"Students dancing. Caption reads ""Jitterbugging Prohibited.""",,Unknown,,"1955 Les Bois, under ""student life"".",Boise State University;Dance parties;,,,,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,935.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/819,819,837.jpg,/archives/image/837.jpg
historicboise737,AR 003961,,Sweetheart's Ball,1951,1951,1950s,Two couples dancing at the Sweetheart's Ball. Second from right is Diane Chester.,,Unknown,,"1951 Les Bois, page 73",Boise State University;Dance parties,,,"Chester, Diane;",,Sweetheart's Ball;,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,936.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/820,820,838.jpg,/archives/image/838.jpg
historicboise738,AR 003960,,Dancing couple,ca. 1953,1953; 1954,1950s,"Dance couple laughs as the woman is seated on the floor amongst a crowd in the background. Yearbook caption reads ""Bill! That's no way to treat her!""",,Unknown,,"1954 Les Bois, under ""student life"".",Boise State University;Dance parties,,,,,,Boise (Idaho),Image:StillImage,b/w photo,Broncos are Dancing,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,937.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/821,821,839.jpg,/archives/image/839.jpg
